City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bunda,TZ,2022-02-01 21:36:10,-2.05,33.8667,63.88,87,83,4.81
68,Nantucket,US,2022-02-01 21:33:57,41.2835,-70.0995,37.51,79,99,19.44
69,Kapaa,US,2022-02-01 21:36:11,22.0752,-159.319,78.12,70,40,1.99
70,Port Elizabeth,ZA,2022-02-01 21:36:11,-33.918,25.5701,77.29,78,0,2.3
71,Malumfashi,NG,2022-02-01 21:36:12,11.7853,7.6218,60.89,18,1,8.05
72,Juybar,IR,2022-02-01 21:36:12,36.6412,52.9124,47.66,61,8,3.69
73,Vila Velha,BR,2022-02-01 21:34:00,-20.3297,-40.2925,82.35,83,20,10.36
74,Hami,CN,2022-02-01 21:36:13,42.8,93.45,21.97,32,90,0.4
75,New Norfolk,AU,2022-02-01 21:32:53,-42.7826,147.0587,56.75,52,17,1.01
76,Dikson,RU,2022-02-01 21:36:14,73.5069,80.5464,3.81,93,100,17.94
77,Tasiilaq,GL,2022-02-01 21:36:14,65.6145,-37.6368,12.36,72,89,6.2
78,Saskylakh,RU,2022-02-01 21:36:15,71.9167,114.0833,-27.94,100,50,1.86
79,Buchanan,LR,2022-02-01 21:36:15,5.8808,-10.0467,79.52,84,40,6.87
80,Norman Wells,CA,2022-02-01 21:35:23,65.282,-126.8329,-12.96,77,40,2.3
81,Gorontalo,ID,2022-02-01 21:36:16,0.5412,123.0595,73.35,92,89,3.58
82,Coahuayana,MX,2022-02-01 21:36:17,18.7333,-103.6833,87.28,40,0,7.27
83,Crotone,IT,2022-02-01 21:31:59,39.0851,17.1178,39.29,62,87,32.97
84,Blackwater,AU,2022-02-01 21:36:17,-23.5833,148.8833,83.14,60,100,6.93
85,Chuy,UY,2022-02-01 21:36:18,-33.6971,-53.4616,67.62,61,0,9.1
86,Nacala,MZ,2022-02-01 21:36:18,-14.5428,40.6728,74.28,92,95,4.7
87,Kaitangata,NZ,2022-02-01 21:36:18,-46.2817,169.8464,68.67,72,100,6.13
88,Kavieng,PG,2022-02-01 21:36:19,-2.5744,150.7967,79.95,80,100,7.09
89,Port Alfred,ZA,2022-02-01 21:36:19,-33.5906,26.891,77.02,82,100,6.8
90,Lompoc,US,2022-02-01 21:36:20,34.6391,-120.4579,69.69,25,0,13.8
91,Bima,ID,2022-02-01 21:36:20,-8.4667,118.7167,75.04,94,48,1.25
92,Moron,AR,2022-02-01 21:36:21,-34.6534,-58.6198,86.95,50,1,8.41
93,Chail,IN,2022-02-01 21:37:21,25.4333,81.6333,55.8,70,0,3.87
94,Codrington,AU,2022-02-01 21:37:22,-38.2667,141.9667,57.51,58,65,13.67
95,Wenling,CN,2022-02-01 21:37:22,28.3669,121.36,41.92,90,100,11.25
96,Gizo,SB,2022-02-01 21:37:23,-8.103,156.8419,83.53,76,97,8.12
97,Ustye,RU,2022-02-01 21:37:23,59.6304,39.736,15.66,97,100,3.13
98,Maniitsoq,GL,2022-02-01 21:37:24,65.4167,-52.9,8.64,82,100,11.86
99,Sur,OM,2022-02-01 21:37:24,22.5667,59.5289,72.21,64,5,3.2
100,Vanavara,RU,2022-02-01 21:37:25,60.34,102.2797,-10.08,100,100,3.13
101,Ko Samui,TH,2022-02-01 21:37:25,9.5357,99.9357,80.71,76,94,8.72
102,Coquimbo,CL,2022-02-01 21:37:26,-29.9533,-71.3436,69.53,64,0,11.5
103,Opuwo,NA,2022-02-01 21:37:26,-18.0607,13.84,65.8,46,80,5.95
104,Hastings,GB,2022-02-01 21:37:27,50.8552,0.5729,52.54,84,100,18.52
105,San Francisco,US,2022-02-01 21:37:27,37.7749,-122.4194,63.82,27,0,4.0
106,Bluff,NZ,2022-02-01 21:37:28,-46.6,168.3333,72.81,66,97,14.03
107,Hauterive,FR,2022-02-01 21:37:28,46.0901,3.4459,45.36,98,100,6.24
108,Princeton,US,2022-02-01 21:33:26,25.5384,-80.4089,72.01,57,20,11.5
109,Nazira,IN,2022-02-01 21:37:29,26.9167,94.7333,54.52,97,97,3.22
110,Sal Rei,CV,2022-02-01 21:37:30,16.1833,-22.9167,73.96,79,100,9.08
111,Necochea,AR,2022-02-01 21:37:30,-38.5473,-58.7368,75.04,56,7,9.33
112,Ganzhou,CN,2022-02-01 21:35:46,28.8184,115.4327,36.43,97,100,7.65
113,Carutapera,BR,2022-02-01 21:37:31,-1.195,-46.02,77.63,88,91,8.21
114,Store Heddinge,DK,2022-02-01 21:37:31,55.3097,12.3889,41.11,82,99,26.46
115,Kailua,US,2022-02-01 21:37:32,21.4022,-157.7394,81.14,67,75,9.22
116,Yulara,AU,2022-02-01 21:37:32,-25.2406,130.9889,67.84,94,100,11.5
117,Cape Town,ZA,2022-02-01 21:36:36,-33.9258,18.4232,70.12,85,20,9.22
118,Esperance,AU,2022-02-01 21:37:33,-33.8667,121.9,58.84,67,42,14.36
119,Qaanaaq,GL,2022-02-01 21:34:05,77.484,-69.3632,-18.85,70,100,12.01
120,Bedesa,ET,2022-02-01 21:37:34,8.9,40.7833,60.12,52,18,5.44
121,Fredericton,CA,2022-02-01 21:37:34,45.9454,-66.6656,13.24,48,0,3.44
122,Pisco,PE,2022-02-01 21:37:35,-13.7,-76.2167,77.05,61,0,21.85
123,Puerto Ayora,EC,2022-02-01 21:37:35,-0.7393,-90.3518,80.56,91,71,5.01
124,Olafsvik,IS,2022-02-01 21:37:36,64.8945,-23.7142,35.06,72,100,10.76
125,Miramar,US,2022-02-01 21:35:52,25.9873,-80.2323,72.01,55,40,17.27
126,Tautira,PF,2022-02-01 21:37:36,-17.7333,-149.15,84.22,77,25,19.39
127,Saint-Augustin,CA,2022-02-01 21:37:37,51.226,-58.6502,-3.96,83,1,8.03
128,Hailey,US,2022-02-01 21:32:45,43.5196,-114.3153,19.26,60,0,10.36
129,Bengkulu,ID,2022-02-01 21:37:29,-3.8004,102.2655,74.19,82,100,5.55
130,Chokurdakh,RU,2022-02-01 21:37:38,70.6333,147.9167,-15.47,95,100,4.38
131,Kruisfontein,ZA,2022-02-01 21:37:38,-34.0033,24.7314,74.88,67,100,5.41
132,Benton Harbor,US,2022-02-01 21:37:39,42.1167,-86.4542,47.05,75,100,4.61
133,Marawi,PH,2022-02-01 21:35:22,7.9986,124.2928,63.64,94,100,1.19
134,Fengcheng,CN,2022-02-01 21:37:39,40.4536,124.0717,13.39,55,0,2.13
135,Meulaboh,ID,2022-02-01 21:37:40,4.1363,96.1285,75.16,88,91,4.07
136,Atar,MR,2022-02-01 21:37:40,20.5169,-13.0499,77.67,13,74,8.57
137,Tamiahua,MX,2022-02-01 21:37:41,21.2667,-97.45,75.47,64,14,7.78
138,Kaoma,ZM,2022-02-01 21:37:42,-14.7833,24.8,63.36,94,42,2.35
139,Bayeux,BR,2022-02-01 21:37:42,-7.125,-34.9322,81.23,78,0,8.05
140,Sibolga,ID,2022-02-01 21:38:43,1.7427,98.7792,73.29,96,100,0.76
141,Jaciara,BR,2022-02-01 21:38:43,-15.9653,-54.9683,73.45,92,72,5.14
142,Kawalu,ID,2022-02-01 21:38:44,-7.3817,108.2082,72.7,94,97,1.57
143,Shrigonda,IN,2022-02-01 21:38:44,18.6167,74.6833,68.02,25,1,6.35
144,Narsaq,GL,2022-02-01 21:38:45,60.9167,-46.05,19.62,83,62,3.4
145,Pyay,MM,2022-02-01 21:38:45,18.8167,95.2167,57.02,42,10,1.36
146,Hambantota,LK,2022-02-01 21:38:46,6.1241,81.1185,73.74,94,20,8.05
147,Namibe,AO,2022-02-01 21:38:46,-15.1961,12.1522,72.73,71,42,12.37
148,Dalvik,IS,2022-02-01 21:38:47,65.9702,-18.5286,4.93,72,19,9.44
149,Saint George,US,2022-02-01 21:38:47,37.1041,-113.5841,54.07,23,0,4.0
150,Castro,BR,2022-02-01 21:38:48,-24.7911,-50.0119,68.22,84,5,4.65
151,Arinos,BR,2022-02-01 21:38:48,-15.9169,-46.1056,77.18,75,93,0.56
152,Tiksi,RU,2022-02-01 21:38:49,71.6872,128.8694,-12.69,99,100,4.45
153,Lenger,KZ,2022-02-01 21:38:49,42.183,69.8839,29.64,33,37,6.13
154,Lavrentiya,RU,2022-02-01 21:38:50,65.5833,-171.0,0.59,79,17,16.31
155,Vardo,NO,2022-02-01 21:38:50,70.3705,31.1107,17.8,85,20,5.75
156,Cochrane,CA,2022-02-01 21:38:51,51.1834,-114.4687,4.21,63,100,10.36
157,Vestmannaeyjar,IS,2022-02-01 21:38:51,63.4427,-20.2734,36.21,73,100,9.15
158,Llanes,ES,2022-02-01 21:38:52,43.4198,-4.7549,44.28,73,1,6.04
159,Conde,BR,2022-02-01 21:38:52,-7.2597,-34.9075,80.06,78,0,8.05
160,San Carlos De Bariloche,AR,2022-02-01 21:38:53,-41.1456,-71.3082,76.44,39,0,26.46
161,Rafaela,AR,2022-02-01 21:38:54,-31.2503,-61.4867,94.98,30,0,3.0
162,Kasungu,MW,2022-02-01 21:38:54,-13.0333,33.4833,64.44,96,11,3.89
163,Turukhansk,RU,2022-02-01 21:38:55,65.8167,87.9833,7.65,95,100,8.77
164,Fortuna,US,2022-02-01 21:38:55,40.5982,-124.1573,55.85,57,0,11.01
165,Smithers,CA,2022-02-01 21:38:56,54.7804,-127.1743,21.52,63,75,0.0
166,Sao Felix Do Xingu,BR,2022-02-01 21:38:56,-6.6447,-51.995,73.85,89,92,0.4
167,Anadyr,RU,2022-02-01 21:38:57,64.75,177.4833,21.7,58,51,29.08
168,Ahipara,NZ,2022-02-01 21:37:52,-35.1667,173.1667,73.71,73,100,15.55
169,Chernyshevskiy,RU,2022-02-01 21:38:57,63.0128,112.4714,-32.73,100,19,2.13
170,Cascais,PT,2022-02-01 21:36:30,38.6979,-9.4215,61.05,44,0,5.01
171,Ardakan,IR,2022-02-01 21:38:58,32.31,54.0175,41.38,73,0,4.7
172,Kontagora,NG,2022-02-01 21:38:59,10.3999,5.4695,73.65,14,1,7.38
173,Cuamba,MZ,2022-02-01 21:39:00,-14.8031,36.5372,68.29,95,5,1.34
174,Nagato,JP,2022-02-01 21:39:00,34.3833,131.2,37.31,62,7,5.39
175,Aswan,EG,2022-02-01 21:36:25,24.0934,32.907,56.21,46,0,5.86
176,Karratha,AU,2022-02-01 21:37:49,-20.7377,116.8463,82.87,78,94,10.56
177,Sao Felipe,BR,2022-02-01 21:39:01,-14.8167,-41.3833,76.93,74,100,3.15
178,Mar Del Plata,AR,2022-02-01 21:34:49,-38.0023,-57.5575,84.22,68,0,15.99
179,Miedzyrzec Podlaski,PL,2022-02-01 21:39:02,51.9864,22.7825,30.51,92,100,13.44
180,Portland,US,2022-02-01 21:34:38,45.5234,-122.6762,47.39,86,75,1.01
181,Guerrero Negro,MX,2022-02-01 21:39:03,27.9769,-114.0611,63.97,60,100,14.9
182,Klyuchi,RU,2022-02-01 21:39:03,52.2667,79.1667,7.84,95,100,5.99
183,Peremyshl,RU,2022-02-01 21:40:04,54.2631,36.1606,25.36,94,94,9.71
184,Kamaishi,JP,2022-02-01 21:40:04,39.2667,141.8833,30.56,70,40,6.89
185,Akdepe,TM,2022-02-01 21:39:13,42.0551,59.3788,30.29,75,76,5.68
186,Northam,GB,2022-02-01 21:38:50,51.0333,-4.2167,51.42,94,100,15.59
187,Ust-Kulom,RU,2022-02-01 21:40:05,61.6864,53.6902,26.94,95,100,8.12
188,Douglas,US,2022-02-01 21:37:13,41.3,-96.167,32.88,44,0,5.99
